Start URL,Category,Product,Price,Slash Price,Details Link
https://vgg.bites.com.my/collections/organics,Organics,LE ORG WHEATGRASS POWDER 185G,RM34.00,,https://vgg.bites.com.my/collections/organics/products/le-org-wheatgrass-powder-185g
https://vgg.bites.com.my/collections/organics,Organics,HP ORGANIC INSTANT BABY OAT 500G,RM9.40,,https://vgg.bites.com.my/collections/organics/products/hp-organic-instant-baby-oat-500g
https://vgg.bites.com.my/collections/organics,Organics,CFO ORGANIC CHIA SEEDS 300GM,RM29.90,,https://vgg.bites.com.my/collections/organics/products/cfo-organic-chia-seeds-300gm
https://vgg.bites.com.my/collections/organics,Organics,ALCE NERO STRAWBERRY JAM 270GM,RM27.50,,https://vgg.bites.com.my/collections/organics/products/alce-nero-strawberry-jam-270gm
https://vgg.bites.com.my/collections/organics,Organics,ALCE NERO ORG UNFILTER APPLE CIDER VINEGAR 500ML,RM16.55,,https://vgg.bites.com.my/collections/organics/products/alce-nero-org-unfilter-apple-cider-vinegar-500ml
https://vgg.bites.com.my/collections/organics,Organics,ALCE NERO ORG PENNE RIGATE 500GM,RM7.99,RM9.00,https://vgg.bites.com.my/collections/organics/products/alce-nero-org-penne-rigate-500gm
https://vgg.bites.com.my/collections/organics,Organics,ALCE NERO ORG OLIO EXTRA VERGINE DI OLIV 250ML,RM34.50,,https://vgg.bites.com.my/collections/organics/products/alce-nero-org-olio-extra-vergine-di-oliv-250ml
https://vgg.bites.com.my/collections/organics,Organics,ALCE NERO ORG MACARONI 500GM,RM7.99,RM8.95,https://vgg.bites.com.my/collections/organics/products/alce-nero-org-macaroni-500gm
https://vgg.bites.com.my/collections/organics,Organics,ALCE NERO ORG FUSILLI 500GM,RM7.99,RM9.00,https://vgg.bites.com.my/collections/organics/products/alce-nero-org-fusilli-500gm
https://vgg.bites.com.my/collections/organics,Organics,LOVE EARTH ORG REGULAR OAT 400GM,RM8.90,,https://vgg.bites.com.my/collections/organics/products/love-earth-org-regular-oat-400gm
https://vgg.bites.com.my/collections/organics,Organics,RADIANT ORGANIC QUINOA 500G,RM26.90,,https://vgg.bites.com.my/collections/organics/products/radiant-organic-quinoa-500g
https://vgg.bites.com.my/collections/organics,Organics,AUST OWN ORGANIC ALMOND MILK 1L,RM17.10,,https://vgg.bites.com.my/collections/organics/products/aust-own-organic-almond-milk-1l
https://vgg.bites.com.my/collections/organics,Organics,AUST OWN ORG UNSWT SOY MILK LACTOSE FREE 1L,RM12.05,,https://vgg.bites.com.my/collections/organics/products/aust-own-org-unswt-soy-milk-lactose-free-1l
https://vgg.bites.com.my/collections/organics,Organics,AUST OWN ORG UNSWEETENED ALMOND MILK 1 L,RM17.10,,https://vgg.bites.com.my/collections/organics/products/aust-own-org-unsweetened-almond-milk-1-l
https://vgg.bites.com.my/collections/organics,Organics,CED PURE HONEY 1KG,RM20.40,,https://vgg.bites.com.my/collections/organics/products/ced-pure-honey-1kg
https://vgg.bites.com.my/collections/organics,Organics,OATSIDE CHOCOLATE 1L,RM9.90,,https://vgg.bites.com.my/collections/organics/products/oatside-chocolate-1l
