Start URL,Category,Product,Price,Slash Price,Details Link
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Broccoli (China) 1unit,RM 3.20,,https://jgsj.jayagrocer.com/products/broccoli-china-1?variant=42250279944359
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Tomato (Malaysia) 500g,RM 3.95,,https://jgsj.jayagrocer.com/products/tomato-mys-k20?variant=41611854741671
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Cameron Garden French Bean (Kacang Buncis) (Malaysia) 250g,RM 3.20,,https://jgsj.jayagrocer.com/products/french-bean-kacang-buncis-mys-p50-250g-1?variant=41612389417127
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Cameron Garden Probiotic Siew Pak Choy (Malaysia) 250g,RM 2.90,,https://jgsj.jayagrocer.com/products/cameron-garden-probiotic-siew-pak-choy-mys-p20-250g-1?variant=41612301205671
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Spring Onion (Daun Bawang) (Malaysia) 80g,RM 2.60,,https://jgsj.jayagrocer.com/products/spring-onion-80g-1?variant=41612486213799
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Nutriplus Kampung Eggs with Omega-3 10pcs/pack,RM 8.60,,https://jgsj.jayagrocer.com/products/nutriplus-kampung-eggs-with-omega-3-10pcs-1?variant=41611406901415
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Chicken Boneless Breast (Skinless),RM 10.40,,https://jgsj.jayagrocer.com/products/chicken-boneless-breast-skinless?variant=41611993186471
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Sweet Corn Yellow (Malaysia) 2pcs/pack,RM 4.60,,https://jgsj.jayagrocer.com/products/mascorn-sweet-corn-mys-c24-1pack-1?variant=41612273352871
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,NutriPlus Omega-3 Chicken Eggs 15pcs/pack,RM 11.50,,https://jgsj.jayagrocer.com/products/nutriplus-omega-3-chicken-eggs-15pcs-1?variant=41612371722407
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Paprika Farm Japanese Cucumber (Kyuri) 330g,RM 3.90,,https://jgsj.jayagrocer.com/products/paprika-farm-japanese-cucumber-kyuri-p20-330g-1?variant=41612191826087
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Dole Banana (Philippines) 1pack,RM 8.50,,https://jgsj.jayagrocer.com/products/dole-banana-philippines-1pack?variant=42699538759847
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Coriander (Ketumbar) (Malaysia) 50g,RM 2.60,,https://jgsj.jayagrocer.com/products/coriander-ketumbar-50g-1?variant=41612464455847
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,QL Omega Eggs with Omega 3 and DHA (Large) 15pcs/pack,RM 12.00,,https://jgsj.jayagrocer.com/products/ql-omega-eggs-with-omega-3-and-dha-grade-a-15pcs-1?variant=41612477300903
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Red Onion (Bawang Besar Merah) 1kg+/-,RM 3.19,,https://jgsj.jayagrocer.com/products/red-onion-india-1kg?variant=42719580324007
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Carrot (Australia) 500g,RM 3.40,,https://jgsj.jayagrocer.com/products/carrot-australia-400g?variant=45903226667175
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Russet Potato (USA) 1kg,RM 7.50,,https://jgsj.jayagrocer.com/products/russet-potato-usa-k22-5?variant=41612414550183
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Lushious Tomato Value Pack (Malaysia) 600g,RM 7.50,,https://jgsj.jayagrocer.com/products/lushious-tomato-value-pack-600g-1?variant=41612369199271
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Long Bean (Kacang Panjang) (Malaysia) 250g,RM 4.90,,https://jgsj.jayagrocer.com/products/long-beans-kacang-panjang-mys-250g-1?variant=41612153585831
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Genting Garden Cherry Honey Tomato 275g,RM 7.00,,https://jgsj.jayagrocer.com/products/genting-garden-cherry-honey-tomato-275g-1?variant=41611916378279
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,NutriPlus Jumbo Eggs with Omega 3 10pcs/pack,RM 9.15,,https://jgsj.jayagrocer.com/products/nutriplus-jumbo-eggs-with-omega-3-10pcs-1?variant=41612501713063
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Lemon (South Africa) 5pcs/pack,RM 11.90,,https://jgsj.jayagrocer.com/products/lemon-5s-1pack-1?variant=41612258672807
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Cameron Garden Probiotic Sawi (Malaysia) 300g,RM 2.80,,https://jgsj.jayagrocer.com/products/cameron-garden-probiotic-sawi-300g-1?variant=41612300943527
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Genting Garden Iceberg Lettuce (Malaysia) 1pack,RM 5.00,,https://jgsj.jayagrocer.com/products/genting-garden-iceberg-lettuce-100g-1?variant=41612012814503
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Eco Harvest Lady Fingers (Malaysia) 200g,RM 3.40,,https://jgsj.jayagrocer.com/products/green-growers-lady-fingers-200g-1?variant=41612219416743
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Paprika Farm Holland Tomato (Malaysia) 400g,RM 4.50,,https://jgsj.jayagrocer.com/products/holland-tomato-400g-1?variant=41612191563943
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Red Chili Padi (Thailand) 100g,RM 2.80,,https://jgsj.jayagrocer.com/products/red-chili-padi-thailand-p40-100g?variant=41611873058983
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Aqina Skinless Boneless Chicken Breast ABF 0.5kg,RM 12.55,,https://jgsj.jayagrocer.com/products/aqina-skinless-boneless-chicken-breast?variant=41611855134887
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Garlic (Bawang Putih) 800g+/-,RM 9.30,,https://jgsj.jayagrocer.com/products/garlic-bawang-putih?variant=42719580651687
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Lemon (South Africa) 1unit,RM 2.40,,https://jgsj.jayagrocer.com/products/lemon-c88-1pc-1?variant=41611878498471
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Round Cabbage (Kubis Bulat) (Malaysia) 800g,RM 5.20,,https://jgsj.jayagrocer.com/products/round-cabbage-kubis-bulat?variant=41616987816103
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Enjoy Japanese Cucumber (Kyuri) (Malaysia) 300g,RM 3.20,,https://jgsj.jayagrocer.com/products/japanese-cucumber-kyuri-300g-1?variant=41612121374887
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Baby Sweet Potato Leaf (Malaysia) 250g,RM 2.00,,https://jgsj.jayagrocer.com/products/baby-sweet-potato-leaf-250g-1?variant=41612353175719
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Swiss Brown Mushroom 150g,RM 7.50,,https://jgsj.jayagrocer.com/products/swiss-brown-mushroom-150g-1?variant=41612299731111
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Lady Finger (Kacang Bendi) (Malaysia) 200g,RM 3.00,,https://jgsj.jayagrocer.com/products/lady-finger-okra-250g-1?variant=41612153749671
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,White Button Mushroom 150g,RM 5.50,RM 6.80,https://jgsj.jayagrocer.com/products/white-button-mushroom-150g-1?variant=41612299665575
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Summer Harvest Baby Siow Pak Choy (Sawi Jepun Kecil) (Malaysia) 200g,RM 4.30,,https://jgsj.jayagrocer.com/products/baby-siow-pak-choy-sawi-jepun-kecil-200g-1?variant=41612486082727
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,White Cauliflower (China) 900g,RM 9.73,,https://jgsj.jayagrocer.com/products/cauliflower-china?variant=41616292020391
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,QL Sakura Fresh Eggs 15pcs/pack,RM 12.50,,https://jgsj.jayagrocer.com/products/ql-sakura-fresh-eggs-15pcs-1?variant=41612051742887
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,CF Organic Smooth Tofu 300g,RM 2.70,,https://jgsj.jayagrocer.com/products/anzen-organic-smooth-tofu-300g?variant=41612174753959
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Genting Garden Classic Mixed Salad (Malaysia) 125g,RM 11.20,,https://jgsj.jayagrocer.com/products/genting-garden-classic-mixed-salad-mys-125g-1?variant=41611969396903
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,White Radish (Lobak Putih),RM 2.25,,https://jgsj.jayagrocer.com/products/white-radish-lobak-putih?variant=41611851202727
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Cameron Garden Baby Spinach (Malaysia) 100g,RM 9.40,,https://jgsj.jayagrocer.com/products/cameron-garden-baby-spinach-mys-p20-100g-1?variant=41612409995431
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,CF Smooth Tofu 300g,RM 1.55,,https://jgsj.jayagrocer.com/products/cf-smooth-tofu-300g-1?variant=41611678449831
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Lime (Limau Nipis) (Vietnam) 200g,RM 2.70,,https://jgsj.jayagrocer.com/products/yk-key-lime-limau-nipis-200g-thailand?variant=41612014354599
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Lemongrass (Serai) (Malaysia) 170g,RM 2.70,,https://jgsj.jayagrocer.com/products/lemongrass-170g-1?variant=41612032475303
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Celery Bundle (Australia) 600g,RM 11.50,,https://jgsj.jayagrocer.com/products/celery-bundle-australia-600g-1?variant=41612293210279
https://jgsj.jayagrocer.com/collections/fresh-market,Fresh Market,Summer Harvest Choy Sum Fa (Sawi Bunga) (Malaysia) 250g,RM 4.00,,https://jgsj.jayagrocer.com/products/choy-sum-fa-sawi-bunga-250g-1?variant=41611972640935
