Start URL,Category,Product,Unit,Price,Slash Price,Details Link
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt_&_Pudding,Yakult Ace Cultured Milk,5 x 80 ml,RM 5.60,,https://myaeon2go.com/product/1562/ace-cultured-milk
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt_&_Pudding,Yakult Ace Cultured Milk Light Double,10 x 80 ml,RM 11.90,,https://myaeon2go.com/product/1565/ace-cultured-milk-light-double
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt_&_Pudding,Yakult Ace Cultured Milk Double 10 x 80 ml,,RM 11.10 to RM 11.90,,https://myaeon2go.com/product/1564/ace-cultured-milk-double
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt_&_Pudding,Farm Fresh Greek Yogurt Original,120 g,RM 3.95,,https://myaeon2go.com/product/10389/greek-yogurt-original
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt_&_Pudding,Vitagen Cultured Milk Twin Pack 10 x 125 ml,,RM 10.90 to RM 10.99,,https://myaeon2go.com/product/1560/cultured-milk-assorted-twin-pack
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt_&_Pudding,Vitagen Cultured Milk Assorted Twin Pack,10 x 125 ml,RM 10.90,,https://myaeon2go.com/product/1560/cultured-milk-assorted-twin-pack
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt_&_Pudding,Sunglo Greek Natural Yoghurt,,RM 14.99,RM 17.15,https://myaeon2go.com/product/1548/full-cream-natural-greek-yoghurt
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt_&_Pudding,Sunglo Full Cream Natural Greek Yoghurt,900 g,RM 14.99,RM 17.15,https://myaeon2go.com/product/1548/full-cream-natural-greek-yoghurt
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt_&_Pudding,Vitagen Cultured Milk Less Sugar Assorted Twin Pack,10 x 125 ml,RM 10.99,RM 11.70,https://myaeon2go.com/product/1561/cultured-milk-less-sugar-assorted-twin-pack
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt_&_Pudding,Vitagen Cultured Milk Grape,5 x 125 ml,RM 5.30,,https://myaeon2go.com/product/1555/cultured-milk-grape
