Start URL,Category,Product,Unit,Price,Slash Price,Details Link
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Fernleaf Low Fat Yogurt Mango,110 g,RM 1.78,,https://myaeon2go.com/product/1505/low-fat-yogurt-mango
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Fernleaf Low Fat Yogurt 110 g,,RM 1.78,,https://myaeon2go.com/product/1502/low-fat-yogurt-natural
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Yakult Ace Cultured Milk Double 10 x 80 ml,,RM 10.50 to RM 11.30,,https://myaeon2go.com/product/1564/ace-cultured-milk-double
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Yakult Ace Cultured Milk Light Double,10 x 80 ml,RM 11.30,,https://myaeon2go.com/product/1565/ace-cultured-milk-light-double
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Vitagen Cultured Milk Assorted Twin Pack,10 x 125 ml,RM 10.90,,https://myaeon2go.com/product/1560/cultured-milk-assorted-twin-pack
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Vitagen Cultured Milk Twin Pack 10 x 125 ml,,RM 10.49 to RM 10.90,,https://myaeon2go.com/product/1560/cultured-milk-assorted-twin-pack
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Fernleaf Low Fat Yogurt Mixed Berry,110 g,RM 1.78,,https://myaeon2go.com/product/1504/low-fat-yogurt-mixed-berry
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Vitagen Cultured Milk Less Sugar Assorted Twin Pack,10 x 125 ml,RM 10.49,RM 11.70,https://myaeon2go.com/product/1561/cultured-milk-less-sugar-assorted-twin-pack
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Yakult Ace Cultured Milk Double,10 x 80 ml,RM 10.50,,https://myaeon2go.com/product/1564/ace-cultured-milk-double
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Fernleaf Low Fat Yogurt Natural,110 g,RM 1.78,,https://myaeon2go.com/product/1502/low-fat-yogurt-natural
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Vitagen Less Sugar Grape,5 x 125 ml,RM 5.29,RM 5.70,https://myaeon2go.com/product/10425/less-sugar-grape
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Vitagen Cultured Milk 5 x 125 ml,,RM 5.30 to RM 5.50,,https://myaeon2go.com/product/1553/cultured-milk-original
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Vitagen Cultured Milk Grape,5 x 125 ml,RM 5.30,,https://myaeon2go.com/product/1555/cultured-milk-grape
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Farm Fresh Greek Natural Yogurt,470 g,RM 11.49,RM 12.45,https://myaeon2go.com/product/12887/greek-natural-yogurt
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Farm Fresh Farm Yogurt Mixberries,120 g,RM 3.10,,https://myaeon2go.com/product/5586/farm-yogurt-mixberries
https://myaeon2go.com/products/category/295290/yogurt-&-pudding/pages/1-4,Yogurt & Pudding,Farm Fresh Farm Yogurt 120 g,,RM 3.10,,https://myaeon2go.com/product/1482/farm-yogurt-peach
